blogs,points
希望九哥日日开心同我打羽毛波,1
加埋哦！句需要运动！,0
哈哈、生日快乐。我地居然同一日生日,5
哈哈…生日快乐。,5
有人问，何时去北京演出呢？正好你回答一下。,0
北京？争取2011年底。回答完毕,0
这美？,1
哈哈~~,5
一定要支持~,1
谢谢支持祝你好运哦,1
肿么呢？青奈滴？吃点退烧药,3
这都不是重点，马春然完美演出才是正经,1
粗粗吧，我觉得还好啊。你回来没啊上报哥！,2
怎么叫上报哥啊看我八月的排班怎样有时间就回去,4
我听在块,0
今晚你们全都要来老公司么？,4
我想我会一直孤单，过着孤单的生活,2
原来都是或曾经孤单，或正在孤单的主儿。,2
混得好我就不回来了，你们在天朝要坚强。到时候一起接你们过去。,0
要奸墙，不要被强奸。,4
他在做神马哦~~,1
讲出来恶心死你！玩鼻涕！哈哈哈！,5
刘健上场令人意外,0
刘健比黄博文强。,0
剥开皮了没,0
剥开啦，味道一般啊，居然不是香蕉味的。,1
"1,价钱也快跳水了。",0
玩游戏9100过热是硬伤啊，电池太不抗用了。,3
大国总理，我只认周恩来和朱镕基。,0
伟人的意义就在于此吧！,0
三星的手机有哪些优缺点？,0
我不知道，我只知道我身边被三星淹没了。那些我爱的人和我恨的人。,2
高兴的样啊,5
何止高兴、简直大乐回长沙还下了个大厨,5
我同学微博抽的，可是这一场没有思远啊>_,2
我有照片。时光荏苒啊，已经5年了呢,2
那你就是土流氓,0
因为土流氓就是最野蛮的流氓,3
飞机上可以开信号嘛,0
哈哈，是经停休息的时候火速发的啦,5
怕你闻到肉味不小心咬伤了自己,3
不会的最爱吃肉了~,1
干巴得哈。。。,5
啥子意思？说些俺听不懂的？,3
也。。。曾哥硬是不来找我摆龙门阵了哦,2
明哥我真叻不想理你你能不能不要跟我说话嘛！,4
雯雯，生日快乐哈,1
谢谢星恋姐,1
你关注的东西都好深奥啊亲。我压力好大。,2
这点你放心，麻将比围棋深奥多了。囧~,3
人在戏中戏在人中！呵呵！,5
哈哈，我在戏中演的是反派啊。,5
我收了,2
"我说的是该画的实体作品哦,免费收藏拍!看谁出的情意更纯真!",1
好！,1
期待。,1
啃爹呢！这么简单谁都看的到啊！同性你妹！,4
说的好，我很正常，绝对不会喜欢女人,1
我有童真么,1
哈哈哈不是一般的有~,5
好吃不？好吃我也来。,1
还不错哈！…,1
你是有多讨厌天津==,3
很讨厌很讨厌！,3
哈哈果然,5
唉亏我还那么卖力。。。,2
你才睡了4小时？不行的啊,4
实际上是3个小时，哈哈！,5
别太期待变胖了哈哈,1
哼哼哼，都说我胖了，下次不瘦不见面！,3
这是你呀宝贝你多大了呀,1
是我呀，我今年4岁了。,2
眼泪上流了啊,2
眼泪失重了~,2
忒不厚道了，怎么可以这样……,3
这到底谁不厚道！,3
当然会！,0
期待，我们很期待,1
我送你!有机会来我公司任曹哥挑!,1
真的！兴奋。老曹这里先谢谢啦！,5
你的也不算长啊,0
现在已经长了好不好。军训要剪短发啦。,1
当我正打算咬一口麦当劳的时候就看到贵爷的这坨金,4
呵呵呵昨天晚上的,5
又鬼混去了,0
钱老湿，羡慕嫉妒恨啊！,2
羡慕嫉妒恨！,2
嘿嘿！明天我们可是要去白云区游乐场哦！,5
总结的不错吗！,5
关键我是个女的，我该肿么办啊？,4
看来我也是男的,0
你也这么报号码是吧？哈哈，咱俩真像！,5
我看了，觉得还不错哦.,1
我也觉得还可以，不过这个更好！,1
这个社会怎么了？,3
这个社会变态了。,3
那几好啊,1
大头听到要拆徐家棚!差点射鸟!太到位鸟!,1
下面的帅,0
帅吧，绝对的,1
你最近光顾着玩了，没有注意到我微博里的新动向。,0
惭愧啊！写检讨,2
不是阿…,0
你快回来，你离开我的视线已经很久了，我不能接受。快点回来,2
这诱惑不得了了！！,1
怎么你也这么说？其实就是被蚊子亲了一口而且啊~,3
就是不信任我,0
语文的古诗鉴赏、,0
有一个字叫排队，下次你上班，也许也可以这样要求别人，特别是医生,1
"排队是两个字好吧!我妈在住院,是等医生来打针不是排队",4
曹老师，可否介绍几个知识产权界名律师？,0
你可以关注一下北京盈科律师事务所，中国较为专业的知识产权律师事务所,0
她跟小亮真的好衬,1
是啊，同感，他们俩要在一起就好了,1
销售与市场礼品版总编，来看你的了哦，咱们互相关注哈~,1
不好意思，这段时间比较忙，已关注，期待着向你学习,1
淡定的告诉你，我已经穿薄羊毛裤了,0
"亲,东北和湖北咋能比呢,话说今年降温也太早了",3
貌似很不错...,1
确实不错！,1
今晚我这里阴天！！,2
我们这今夜阳光明媚！,1
那鼻子真是亮点,3
"今天芭比拉出来一块网球皮,我终于找到这个球咯",5
其实这种天气是很适合睡觉的，我这人讨厌死了，在家不睡，现在却很困,0
我也是啊，呜呜。困困的。,2
凶猛的动物,0
我反而觉得他们好善良…,1
哎哟生日快乐我爱你,5
哈哈。谢谢,5
总比木有妹纸的南邻校区要好啊……,3
有妹纸的人就不要吐槽了。把吐槽留给没事妹纸的吧。,4
借纳税人的钱去喻？用谁的钱来还！,4
"老广州人叫烧钱,新广州人叫燃烧人民币!",3
你好久变得嫩个多愁善感了哦~钢起撒~程小哥~,5
老子打麻将输老！呵呵,4
林天花园？哪里啊~很好吃的吗,1
193住的地方，你太不关心人家。红烧肉据说是他拿手莱,3
老板在干嘛,0
戒烟过程中~！,0
谁的啊，这大魅力啊？,1
不知道谁的，我这未成年的小心肝又受伤了。,2
真的~换了个头像又能发了~今天爷就跟他们耗上了~这帮彪子,0
哈哈鬼节啊！低调点！他们会死的！,5
胖你大热天喝热的…！,0
我冷不行啊！要是冷的洒我身上，我更郁闷！,2
怎么能得到？？,0
芭比专属手机外壳获取方式请询问,0
跟几点有什么关系啊？,3
酒店酒店啦，你们这些吹毛求疵的，不懂网络语言,3
用泡菜和面粉捞在一起放些水下次再捞一下，有糊糊的感觉就去煎就可以啦,0
说得好容易，但还是想象不出来怎么一个做法。,3
你出来？？你成日都5出来噶喔。米骗姐哦,4
咁要睇你去边度劈酒了！你知道啦！太嘈的地方我唔喜欢的。,1
你快祝我好运，祈祷我赶快通过吧！,1
我真诚的向主祈祷，你可以过，可以获得…,1
好像结果了的不能做伴娘,0
哦哦哦，我还以为可以呢。,1
是2丁目的工作证照片吗?,3
可以不要爆人家的历史背景吗？,3
何为真实，一切皆是假象！,1
请问假象从何而来？,0
娱乐圈就是一个圈，饶来饶去又饶回来了,5
噢，原来娱乐圈就是这样来的呀~,5
"为什么跟我好的都是我不喜欢的星座,分明不准嘛",3
看看你的上升星座？,0
靓仔啊,0
基佬..你同学几有眼光,0
我五点半，嘻嘻,2
可惜一般六点都走不了,2
咩事,5
不是我去带班的又安排我去带班放学咯~~,5
有点像陈紫涵。。,0
这样看还确实有点像,3
阿哈哈哈。好的儿，快回来儿、,5
啊哈哈。好不好笑啊。,5
神公万岁,1
需要我帮你签名吗？需要请打1，需要连照片一齐签请打2,4
还送什么充值卡呢，哈哈,4
充值卡，这也太不给力，不太吸引,3
我不熟。,3
其实，感性有理性不能证明的价值。,0
上帝太自私了~,3
自私的是人类，上帝才不会想要这些虚伪的东西！,3
为什么叫白哈巴村呢？难倒去这里的都是白痴和哈巴吗,4
只有弱智才不明白中国版块最西北边世界都少见的人间净土白哈巴村,3
长大以后又要祸害小女生了哈！！,5
现在已经要命了！,2
没人让座？,0
还让座呢？一个个态度嚣张。怀念在北京看到的公交车。,3
一样啊,1
可怜我没有免费苦力…,2
陈放吃醋啦,0
你吃醋不嘛。,3
今天早上？可怜的孩子！上学多危险啊！,2
是的，可怜孩子们上学都没有一辆校车，而是坐农用车,2
你是一室一厅吗？,0
不是，是两室一厅,0
想在还能用不？,0
今晚7点到9点开放注册,0
你屋企起边度我拿刀过去找你我呢,4
哈哈、得闲去东职稳你、请你吃野、,5
上海落雨了吗？,2
刚才一场很大的雨，现在已经停了！,2
来看我嘛,0
你们订没得？好久结婚？,4
出差加发肠炎,0
可怜滴孩之,2
这个称应该是没有问题的，不管别人信不信，反正我信了,4
哈哈，老大，如果我轻了的话马上给你打电话,5
呵呵。。看得出你对妙的2,1
唉最近累阿你开学了吧,2
无锡人民表示堪忧。,0
唉，我这么年轻,2
火爆,0
哈哈，原来如此,5
瓶了好多年了,0
